,suirate,suirate,suirate,suirate,suirate,suirate,suirate,suirate,suirate,suirate,suirate,suirate,suirate,suirate,suirate,suirate
unemp,23.32***,19.00**,-19.68,-21.3,40.53**,13.71*,24.20***,23.53***,23.47***,24.19***,23.24***,22.33***,23.53***,22.95***,22.96***,24.01***
vet,1.022***,1.026***,1.093***,1.028***,1.787**,1.022***,0.579*,0.682,0.123,0.569*,1.006***,0.904***,1.024***,1.014***,1.034***,1.011***
arrest,0.000508**,0.0000194,0.000501**,0.000577***,0.000496**,0.000527***,-0.000633,0.000527**,0.000570***,0.000540***,0.00108,0.00309**,0.000387,0.000507**,0.000513**,0.000497**
mental,2.257***,2.259***,-2.053,2.256***,2.166***,2.297***,2.275***,1.533,2.242***,2.191***,2.737**,2.208***,2.249***,4.689***,2.749***,2.065***
disable,0.14,0.144,0.180*,-1.366**,0.148,0.124,0.171*,0.136,-0.582,0.165*,0.14,0.922**,0.142,1.098*,0.133,0.978***
uninsured,0.188***,0.192***,0.179***,0.192***,0.184***,-0.204,0.196***,0.186***,0.174***,-0.192,0.189***,0.186***,0.145,0.175***,0.388,1.157***
uxa,,0.00114,,,,,,,,,,,,,,
uxm,,,9.682**,,,,,,,,,,,,,
uxd,,,,3.611***,,,,,,,,,,,,
uxv,,,,,-1.835,,,,,,,,,,,
uxu,,,,,,0.972,,,,,,,,,,
vxa,,,,,,,0.000121,,,,,,,,,
vxm,,,,,,,,0.0793,,,,,,,,
vxd,,,,,,,,,0.0751,,,,,,,
vxu,,,,,,,,,,0.0406*,,,,,,
axm,,,,,,,,,,,-0.000127,,,,,
axd,,,,,,,,,,,,-0.000193**,,,,
axu,,,,,,,,,,,,,0.0000116,,,
mxd,,,,,,,,,,,,,,-0.198,,
mxu,,,,,,,,,,,,,,,-0.0469,
dxu,,,,,,,,,,,,,,,,-0.0749***
_cons,-20.03***,-18.30***,-2.044,-1.732,-26.85***,-16.07***,-16.90***,-17.03**,-11.53*,-16.46***,-22.01***,-28.65***,-19.71***,-31.35***,-22.01***,-30.11***
N,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357
"=""* p<0.05", ** p<0.01," *** p<0.001""",,,,,,,,,,,,,,